OS Benchmark experiment
Test Name:,vmlinux-aws-fgkaslr,
       ref          kbest:,0.000000010,
       ref        average:,0.000000015,
       cpu          kbest:,0.002099347,
       cpu        average:,0.002102852,
    getpid          kbest:,0.000000191,
    getpid        average:,0.000000195,
context siwtch          kbest:,0.000003185,
context siwtch        average:,0.000003255,
      fork          kbest:,0.000032846,
      fork       average:,0.000034393,
      fork    Child kbest:,0.000055352,
      fork Child average:,0.000057301,
thr create          kbest:,0.000003484,
thr create       average:,0.000004183,
thr create    Child kbest:,0.000004841,
thr create Child average:,0.000005664,
  big fork          kbest:,0.001098612,
  big fork       average:,0.001126200,
  big fork    Child kbest:,0.001134204,
  big fork Child average:,0.001162309,
 huge fork          kbest:,0.002587258,
 huge fork       average:,0.002634791,
 huge fork    Child kbest:,0.002628671,
 huge fork Child average:,0.002675563,
small write          kbest:,0.000001012,
small write        average:,0.000001078,
small read          kbest:,0.000000454,
small read        average:,0.000000531,
small mmap          kbest:,0.000000779,
small mmap        average:,0.000000834,
small munmap          kbest:,0.000002435,
small munmap        average:,0.000002600,
small page fault          kbest:,0.000001186,
small page fault        average:,0.000001471,
 mid write          kbest:,0.000004377,
 mid write        average:,0.000004586,
  mid read          kbest:,0.000001838,
  mid read        average:,0.000001994,
  mid mmap          kbest:,0.000000728,
  mid mmap        average:,0.000000798,
mid munmap          kbest:,0.000006229,
mid munmap        average:,0.000006469,
mid page fault          kbest:,0.000001636,
mid page fault        average:,0.000001807,
 big write          kbest:,0.000421823,
 big write        average:,0.000436134,
  big read          kbest:,0.000223651,
  big read        average:,0.000232156,
  big mmap          kbest:,0.000000722,
  big mmap        average:,0.000000782,
big munmap          kbest:,0.000113174,
big munmap        average:,0.000117306,
big page fault          kbest:,0.000002329,
big page fault        average:,0.000002741,
huge write          kbest:,0.017705928,
huge write        average:,0.019584206,
 huge read          kbest:,0.013405755,
 huge read        average:,0.013534786,
 huge mmap          kbest:,0.000000722,
 huge mmap        average:,0.000000767,
huge munmap          kbest:,0.001164206,
huge munmap        average:,0.001275573,
huge page fault          kbest:,0.000002311,
huge page fault        average:,0.000002593,
    select          kbest:,0.000000847,
    select        average:,0.000000984,
      poll          kbest:,0.000000712,
      poll        average:,0.000000821,
     epoll          kbest:,0.000000714,
     epoll        average:,0.000000843,
select big          kbest:,0.000066015,
select big        average:,0.000099235,
  poll big          kbest:,0.000061226,
  poll big        average:,0.000095237,
 epoll big          kbest:,0.000068685,
 epoll big        average:,0.000098173,
