OS Benchmark experiment
Test Name:,vmlinux-aws-kaslr,
       ref          kbest:,0.000000011,
       ref        average:,0.000000015,
       cpu          kbest:,0.002046868,
       cpu        average:,0.002052142,
    getpid          kbest:,0.000000200,
    getpid        average:,0.000000205,
context siwtch          kbest:,0.000002655,
context siwtch        average:,0.000002751,
      fork          kbest:,0.000030044,
      fork       average:,0.000031989,
      fork    Child kbest:,0.000052030,
      fork Child average:,0.000054868,
thr create          kbest:,0.000003338,
thr create       average:,0.000004107,
thr create    Child kbest:,0.000004644,
thr create Child average:,0.000005588,
  big fork          kbest:,0.001079313,
  big fork       average:,0.001099377,
  big fork    Child kbest:,0.001112754,
  big fork Child average:,0.001133296,
 huge fork          kbest:,0.002585989,
 huge fork       average:,0.002634853,
 huge fork    Child kbest:,0.002624234,
 huge fork Child average:,0.002673684,
small write          kbest:,0.000000784,
small write        average:,0.000000825,
small read          kbest:,0.000000432,
small read        average:,0.000000471,
small mmap          kbest:,0.000000666,
small mmap        average:,0.000000752,
small munmap          kbest:,0.000002112,
small munmap        average:,0.000002240,
small page fault          kbest:,0.000001096,
small page fault        average:,0.000001195,
 mid write          kbest:,0.000004170,
 mid write        average:,0.000004431,
  mid read          kbest:,0.000001866,
  mid read        average:,0.000001981,
  mid mmap          kbest:,0.000000664,
  mid mmap        average:,0.000000734,
mid munmap          kbest:,0.000005556,
mid munmap        average:,0.000005750,
mid page fault          kbest:,0.000001558,
mid page fault        average:,0.000001696,
 big write          kbest:,0.000422936,
 big write        average:,0.000437309,
  big read          kbest:,0.000226433,
  big read        average:,0.000235298,
  big mmap          kbest:,0.000000629,
  big mmap        average:,0.000000694,
big munmap          kbest:,0.000111118,
big munmap        average:,0.000112864,
big page fault          kbest:,0.000002078,
big page fault        average:,0.000002328,
huge write          kbest:,0.017730411,
huge write        average:,0.019545276,
 huge read          kbest:,0.013465374,
 huge read        average:,0.013640159,
 huge mmap          kbest:,0.000000827,
 huge mmap        average:,0.000000911,
huge munmap          kbest:,0.001156480,
huge munmap        average:,0.001250168,
huge page fault          kbest:,0.000002124,
huge page fault        average:,0.000002365,
    select          kbest:,0.000000767,
    select        average:,0.000000882,
      poll          kbest:,0.000000694,
      poll        average:,0.000000789,
     epoll          kbest:,0.000000674,
     epoll        average:,0.000000814,
select big          kbest:,0.000066205,
select big        average:,0.000089396,
  poll big          kbest:,0.000063929,
  poll big        average:,0.000089383,
 epoll big          kbest:,0.000068818,
 epoll big        average:,0.000085026,
