OS Benchmark experiment
Test Name:,vmlinux-aws-nokaslr,
       ref          kbest:,0.000000010,
       ref        average:,0.000000015,
       cpu          kbest:,0.002046865,
       cpu        average:,0.002057519,
    getpid          kbest:,0.000000191,
    getpid        average:,0.000000201,
context siwtch          kbest:,0.000002683,
context siwtch        average:,0.000002761,
      fork          kbest:,0.000030797,
      fork       average:,0.000032111,
      fork    Child kbest:,0.000051402,
      fork Child average:,0.000053390,
thr create          kbest:,0.000003546,
thr create       average:,0.000004224,
thr create    Child kbest:,0.000004935,
thr create Child average:,0.000005772,
  big fork          kbest:,0.001063610,
  big fork       average:,0.001095844,
  big fork    Child kbest:,0.001098416,
  big fork Child average:,0.001130641,
 huge fork          kbest:,0.002524475,
 huge fork       average:,0.002592722,
 huge fork    Child kbest:,0.002562560,
 huge fork Child average:,0.002631638,
small write          kbest:,0.000000804,
small write        average:,0.000000865,
small read          kbest:,0.000000419,
small read        average:,0.000000467,
small mmap          kbest:,0.000000647,
small mmap        average:,0.000000710,
small munmap          kbest:,0.000001962,
small munmap        average:,0.000002075,
small page fault          kbest:,0.000001049,
small page fault        average:,0.000001168,
 mid write          kbest:,0.000004181,
 mid write        average:,0.000004493,
  mid read          kbest:,0.000001810,
  mid read        average:,0.000001943,
  mid mmap          kbest:,0.000000592,
  mid mmap        average:,0.000000649,
mid munmap          kbest:,0.000005372,
mid munmap        average:,0.000005581,
mid page fault          kbest:,0.000001495,
mid page fault        average:,0.000001658,
 big write          kbest:,0.000422502,
 big write        average:,0.000437990,
  big read          kbest:,0.000219735,
  big read        average:,0.000228303,
  big mmap          kbest:,0.000000601,
  big mmap        average:,0.000000663,
big munmap          kbest:,0.000111763,
big munmap        average:,0.000121720,
big page fault          kbest:,0.000002151,
big page fault        average:,0.000002415,
huge write          kbest:,0.017535166,
huge write        average:,0.020018308,
 huge read          kbest:,0.013379380,
 huge read        average:,0.013514690,
 huge mmap          kbest:,0.000000609,
 huge mmap        average:,0.000000666,
huge munmap          kbest:,0.001139488,
huge munmap        average:,0.001164641,
huge page fault          kbest:,0.000002163,
huge page fault        average:,0.000002422,
    select          kbest:,0.000000770,
    select        average:,0.000000922,
      poll          kbest:,0.000000685,
      poll        average:,0.000000802,
     epoll          kbest:,0.000000649,
     epoll        average:,0.000000825,
select big          kbest:,0.000066313,
select big        average:,0.000093321,
  poll big          kbest:,0.000063714,
  poll big        average:,0.000092188,
 epoll big          kbest:,0.000068297,
 epoll big        average:,0.000109426,
